TourId iBest gBest time(ms)
2181 4668.6062898147 3767.8558174232 1352
2182 4668.4886202711 3767.8558174232 1347
2183 4632.9466122672 3767.8558174232 1342
2184 4541.5118506632 3767.8558174232 1358
2185 4650.0294492243 3767.8558174232 1345
2186 4536.9142042658 3767.8558174232 1354
2187 4666.3212637984 3767.8558174232 1349
2188 4662.0737143957 3767.8558174232 1344
2189 4556.4261196356 3767.8558174232 1344
2190 4580.4487744647 3767.8558174232 1352
2191 4627.9245992046 3767.8558174232 1349
2192 4632.9126691183 3767.8558174232 1351
2193 4693.8043201307 3767.8558174232 1352
2194 4418.4520367584 3767.8558174232 1349
2195 4624.5324956708 3767.8558174232 1351
2196 4582.1973203226 3767.8558174232 1353
2197 4498.0147130708 3767.8558174232 1351
2198 4592.9577637251 3767.8558174232 1363
2199 3771.6836424023 3767.8558174232 14515
2200 4548.3483110243 3767.8558174232 1338
2201 4577.8478199834 3767.8558174232 1339
2202 4619.2834679779 3767.8558174232 1346
2203 4443.2035529951 3767.8558174232 1351
2204 4436.0582018092 3767.8558174232 1353
2205 4640.8567502797 3767.8558174232 1344
2206 4615.2489347710 3767.8558174232 1347
2207 4742.0468695037 3767.8558174232 1349
2208 4736.6808953646 3767.8558174232 1359
2209 4412.0245876231 3767.8558174232 1350
2210 4615.4590620211 3767.8558174232 1359
2211 4446.9561238673 3767.8558174232 1342
2212 4468.0650128791 3767.8558174232 1345
2213 4473.7364634471 3767.8558174232 1347
2214 4550.4442811037 3767.8558174232 1349
2215 4664.8710967254 3767.8558174232 1351
2216 4599.0859399227 3767.8558174232 1351
2217 4352.8876460096 3767.8558174232 1352
2218 4648.0972639758 3767.8558174232 1347
2219 4677.2965109649 3767.8558174232 1348
2220 4616.8539665329 3767.8558174232 1343
2221 4637.0455499598 3767.8558174232 1350
2222 4474.7865967292 3767.8558174232 1346
2223 4509.0890162592 3767.8558174232 1349
2224 4554.3866226126 3767.8558174232 1353
2225 4561.4144075975 3767.8558174232 1349
2226 4559.6164109737 3767.8558174232 1354
2227 4680.5358404609 3767.8558174232 1346
2228 4579.4756026614 3767.8558174232 1351
2229 4463.6007195058 3767.8558174232 1350
2230 4612.7109166472 3767.8558174232 1349
2231 4622.0233257201 3767.8558174232 1350
2232 4727.8457224432 3767.8558174232 1387
2233 4659.0121112609 3767.8558174232 1353
2234 4510.2680371707 3767.8558174232 1372
2235 4838.4751187775 3767.8558174232 1363
2236 4631.4414023324 3767.8558174232 1360
2237 4651.6657279018 3767.8558174232 1357
2238 4586.1708077519 3767.8558174232 1371
2239 4627.6148612630 3767.8558174232 1358
2240 4564.5097010212 3767.8558174232 1343
2241 4711.2638907405 3767.8558174232 1346
2242 4610.2698595937 3767.8558174232 1356
2243 4558.7496475549 3767.8558174232 1353
2244 4649.9887142528 3767.8558174232 1356
2245 4562.4586305706 3767.8558174232 1354
2246 4431.8922998172 3767.8558174232 1338
2247 4592.8927318871 3767.8558174232 1343
2248 4544.8135033220 3767.8558174232 1357
2249 4558.3063234085 3767.8558174232 1352
2250 4549.4499046081 3767.8558174232 1350
2251 4710.7043223395 3767.8558174232 1345
2252 4561.9735924183 3767.8558174232 1348
2253 4712.9729385297 3767.8558174232 1351
2254 4643.8195855682 3767.8558174232 1353
2255 4708.0168716391 3767.8558174232 1355
2256 4647.9543169148 3767.8558174232 1345
2257 4542.1708989348 3767.8558174232 1360
2258 4837.9257955219 3767.8558174232 1365
2259 4648.5221397193 3767.8558174232 1347
2260 4708.2516234632 3767.8558174232 1349
2261 4647.9739402875 3767.8558174232 1352
2262 4793.0989048852 3767.8558174232 1353
2263 4506.2031430279 3767.8558174232 1347
2264 4628.7658501608 3767.8558174232 1349
2265 4564.9282723876 3767.8558174232 1343
2266 4558.2327873522 3767.8558174232 1349
2267 4642.4696401784 3767.8558174232 1350
2268 4548.6806183985 3767.8558174232 1347
2269 4636.3551190013 3767.8558174232 1347
2270 4626.5852604940 3767.8558174232 1350
2271 4685.8511240428 3767.8558174232 1351
2272 4517.5824153648 3767.8558174232 1349
2273 4612.3828628632 3767.8558174232 1354
2274 4567.5087946191 3767.8558174232 1349
2275 4582.5658868975 3767.8558174232 1349
2276 4718.5223033837 3767.8558174232 1348
2277 4583.0328176230 3767.8558174232 1353
2278 4459.2138828036 3767.8558174232 1365
2279 4592.7686514213 3767.8558174232 1360
2280 4547.5372585791 3767.8558174232 1361
2281 4514.0411798391 3767.8558174232 1361
2282 4548.2105599521 3767.8558174232 1365
2283 4667.0438915205 3767.8558174232 1359
2284 4677.0272226909 3767.8558174232 1349
2285 4679.9346401961 3767.8558174232 1345
2286 4535.0061645671 3767.8558174232 1351
2287 4656.0377165533 3767.8558174232 1348
2288 4706.1496151169 3767.8558174232 1355
2289 4664.1811796994 3767.8558174232 1353
2290 4673.9429138195 3767.8558174232 1346
2291 4585.9751107177 3767.8558174232 1349
2292 4514.8489531575 3767.8558174232 1360
2293 4657.7938084899 3767.8558174232 1356
2294 4634.5068192041 3767.8558174232 1343
2295 4550.9950564902 3767.8558174232 1351
2296 4591.0846034364 3767.8558174232 1337
2297 4633.3906293362 3767.8558174232 1346
2298 4657.3321294363 3767.8558174232 1343
2299 3802.4141845195 3767.8558174232 14151
2300 4615.0292443998 3767.8558174232 1427
2301 4469.5446083558 3767.8558174232 1395
2302 4554.2588406600 3767.8558174232 1368
2303 4728.2478255499 3767.8558174232 1390
2304 4344.6819061357 3767.8558174232 1379
2305 4690.1186133631 3767.8558174232 1392
2306 4668.2446438965 3767.8558174232 1396
